word,reading,meaning_en,jlpt_level,related_kanji
場合,ばあい,case; situation,N2,"場;合"
増加,ぞうか,increase,N2,"増;加"
減少,げんしょう,decrease,N2,"減;少"
影響,えいきょう,influence,N2,"影;響"
原因,げんいん,cause; origin,N2,"原;因"
結果,けっか,result,N2,"結;果"
効果,こうか,effect; effectiveness,N2,"効;果"
目的,もくてき,purpose,N2,"目;的"
手段,しゅだん,means; method,N2,"手;段"
状況,じょうきょう,situation; condition,N2,"状;況"
環境,かんきょう,environment,N2,"環;境"
関係,かんけい,relationship,N2,"関;係"
内容,ないよう,content,N2,"内;容"
情報,じょうほう,information,N2,"情;報"
技術,ぎじゅつ,technology; skill,N2,"技;術"
経験,けいけん,experience,N2,"経;験"
知識,ちしき,knowledge,N2,"知;識"
理解,りかい,understanding,N2,"理;解"
説明,せつめい,explanation,N2,"説;明"
発表,はっぴょう,presentation,N2,"発;表"
提案,ていあん,proposal,N2,"提;案"
選択,せんたく,choice; selection,N2,"選;択"
決定,けってい,decision,N2,"決;定"
判断,はんだん,judgment,N2,"判;断"
確認,かくにん,confirmation,N2,"確;認"
準備,じゅんび,preparation,N2,"準;備"
対応,たいおう,response; handling,N2,"対;応"
解決,かいけつ,resolution; solution,N2,"解;決"
発展,はってん,development,N2,"発;展"
成長,せいちょう,growth,N2,"成;長"
変化,へんか,change,N2,"変;化"
維持,いじ,maintenance,N2,"維;持"
管理,かんり,management,N2,"管;理"
経営,けいえい,management (business),N2,"経;営"
運営,うんえい,operation; management,N2,"運;営"
実施,じっし,implementation,N2,"実;施"
利用,りよう,usage; utilization,N2,"利;用"
提供,ていきょう,provide,N2,"提;供"
要求,ようきゅう,demand; request,N2,"要;求"
条件,じょうけん,condition,N2,"条;件"
制限,せいげん,restriction,N2,"制;限"
許可,きょか,permission,N2,"許;可"
禁止,きんし,prohibition,N2,"禁;止"
義務,ぎむ,duty; obligation,N2,"義;務"
責任,せきにん,responsibility,N2,"責;任"
権利,けんり,right; authority,N2,"権;利"
比較,ひかく,comparison,N2,"比;較"
区別,くべつ,distinction,N2,"区;別"
分類,ぶんるい,classification,N2,"分;類"
整理,せいり,organizing,N2,"整;理"