word,reading,meaning_en,jlpt_level
裁縫,さいほう,sewing,N2
材木,ざいもく,lumber; timber,N2
サイレン,サイレン,siren,N2
逆さ,さかさ,reverse; inversion; upside down,N2
逆様,さかさま,inversion; upside down,N2
捜す,さがす,to search; to seek; to look for,N2
遡る,さかのぼる,to go back; to go upstream; to make retroactive,N2
酒場,さかば,bar; bar-room,N2
さきおととい,さきおととい,two days before yesterday,N2
先程,さきほど,some time ago,N2
裂く,さく,to tear; to split,N2
索引,さくいん,index; indices,N2
作者,さくしゃ,author; authoress,N2
削除,さくじょ,elimination; cancellation; deletion; erasure,N2
作成,さくせい,frame; draw up; make; producing,N2
作製,さくせい,manufacture,N2
探る,さぐる,to search; to look for; to sound out,N2
囁く,ささやく,to whisper; to murmur,N2
刺さる,ささる,to stick; to be stuck,N2
匙,さじ,spoon,N2
座敷,ざしき,tatami room,N2
差し支え,さしつかえ,hindrance; impediment,N2
差し引き,さしひき,deduction; subtraction; balance; ebb and flow; rise and fall,N2
刺身,さしみ,sliced raw fish,N2
刺す,さす,to pierce; to stab; to prick; to thrust,N2
挿す,さす,to insert; to put in; to graft; to wear in belt,N2
注す,さす,to pour (drink); to serve (drinks),N2
射す,さす,to shine; to strike,N2
流石,さすが,clever; adept; good; expectations; as one would expect,N2
撮影,さつえい,photographing,N2
雑音,ざつおん,noise (jarring; grating),N2
さっさと,さっさと,quickly,N2
早速,さっそく,at once; immediately; without delay; promptly,N2
錆,さび,rust (colour),N2
錆びる,さびる,to rust; to become rusty,N2
座布団,ざぶとん,cushion (Japanese),N2
冷ます,さます,to cool; to dampen; to let cool,N2
妨げる,さまたげる,to disturb; to prevent,N2
冷める,さめる,to become cool; to wear off; to abate; to subside,N2
さようなら,さようなら,good-bye,N2
再来月,さらいげつ,month after next,N2
再来週,さらいしゅう,week after next,N2
再来年,さらいねん,year after next,N2
サラリーマン,サラリーマン,salary man; company employee,N2
騒がしい,さわがしい,noisy,N2
さわやか,さわやか,fresh; refreshing; invigorating,N2
三角,さんかく,triangle; triangular,N2
算数,さんすう,arithmetic,N2
酸性,さんせい,acidity,N2
産地,さんち,producing area,N2
サンプル,サンプル,sample,N2
山林,さんりん,mountain forest; mountains and forest,N2
仕上がる,しあがる,to be finished,N2
しあさって,しあさって,two days after tomorrow,N2
シーズン,シーズン,season (sporting),N2
シーツ,シーツ,sheet,N2
寺院,じいん,temple,N2
自衛,じえい,self-defense,N2
塩辛い,しおからい,salty (taste),N2
司会,しかい,chairmanship,N2
四角,しかく,square,N2
四角い,しかくい,square,N2
時間割,じかんわり,timetable; schedule,N2
四季,しき,four seasons,N2
敷地,しきち,site,N2
至急,しきゅう,urgent; pressing,N2
敷く,しく,to spread out; to lay out,N2
茂る,しげる,to grow thick; to luxuriate; to be luxurious,N2
持参,じさん,bringing; taking; carrying,N2
磁石,じしゃく,magnet,N2
四捨五入,ししゃごにゅう,rounding up (fractions),N2
始終,しじゅう,continuously; from beginning to end,N2
自習,じしゅう,self-study,N2
静まる,しずまる,to quieten down; to calm down; to subside,N2
姿勢,しせい,attitude; posture,N2
自然科学,しぜんかがく,natural science,N2
時速,じそく,speed (per hour),N2
子孫,しそん,descendants; posterity; offspring,N2
死体,したい,corpse,N2
下書き,したがき,rough copy; draft,N2
下町,したまち,shitamachi; lower parts of town,N2
自治,じち,self-government; autonomy,N2
実感,じっかん,feelings (actual; true),N2
湿気,しっけ,moisture; humidity; dampness,N2
湿気,しっき,moisture; humidity; dampness,N2
しつこい,しつこい,insistent; obstinate,N2
実習,じっしゅう,practice; training,N2
実績,じっせき,achievements; actual results,N2
湿度,しつど,level of humidity,N2
執筆,しっぴつ,writing,N2
実物,じつぶつ,real thing; original,N2
しっぽ,しっぽ,tail (animal),N2
実用,じつよう,practical use; utility,N2
実力,じつりょく,merit; efficiency; arms; force,N2
実例,じつれい,example; illustration,N2
失恋,しつれん,disappointed love; broken heart; unrequited love; be lovelorn,N2
指定,してい,designation; specification; assignment; pointing at,N2
私鉄,してつ,private railway,N2
児童,じどう,children; juvenile,N2
縛る,しばる,to tie; to bind,N2
地盤,じばん,(the) ground,N2
しびれる,しびれる,to become numb; to go to sleep (i.E.; a limb),N2
紙幣,しへい,paper money; notes; bills,N2
しぼむ,しぼむ,to wither; to fade (away); to shrivel; to wilt,N2
絞る,しぼる,to press; to wring; to squeeze,N2
縞,しま,stripe,N2
地味,じみ,plain; simple,N2
しみじみ,しみじみ,keenly; deeply; heartily,N2
氏名,しめい,full name; identity,N2
締切,しめきり,closing; cut-off; end; deadline; closed; no Entrance,N2
締め切る,しめきる,to shut up,N2
湿る,しめる,to be wet; to become wet; to be damp,N2
ジャーナリスト,ジャーナリスト,journalist,N2
社会科学,しゃかいかがく,social science,N2
しゃがむ,しゃがむ,to squat,N2
蛇口,じゃぐち,faucet; tap,N2
弱点,じゃくてん,weak point; weakness,N2
車庫,しゃこ,garage; car shed,N2
車掌,しゃしょう,(train) conductor,N2
写生,しゃせい,sketching; drawing from nature,N2
社説,しゃせつ,editorial; leading article,N2
しゃっくり,しゃっくり,hiccough; hiccup,N2
シャッター,シャッター,shutter,N2
しゃぶる,しゃぶる,to suck; to chew,N2
車輪,しゃりん,(car) wheel,N2
洒落,しゃれ,joke; pun; witticism,N2
じゃんけん,じゃんけん,(n) rock-scissors-paper game,N2
集会,しゅうかい,meeting; assembly,N2
住居,じゅうきょ,dwelling; house; residence; address,N2
集金,しゅうきん,money collection,N2
集合,しゅうごう,gathering; assembly; meeting; set (math),N2
習字,しゅうじ,penmanship,N2
修繕,しゅうぜん,repair; mending,N2
重体,じゅうたい,seriously ill; serious condition; critical state,N2
じゅうたん,（カーペット）,carpet,N2
終点,しゅうてん,terminus; last stop (e.G train),N2
重点,じゅうてん,important point; lay stress on; colon; emphasis,N2
就任,しゅうにん,inauguration; assumption of office,N2
周辺,しゅうへん,circumference; outskirts; environs; (computer) peripheral,N2
重役,じゅうやく,director; high executive,N2
終了,しゅうりょう,end; close; termination,N2
重力,じゅうりょく,gravity,N2
熟語,じゅくご,idiom; idiomatic phrase; kanji compound,N2
祝日,しゅくじつ,national holiday,N2
縮小,しゅくしょう,reduction; curtailment,N2
受験,じゅけん,taking an examination,N2
主語,しゅご,(gram) subject,N2
出勤,しゅっきん,going to work; at work,N2
述語,じゅつご,predicate,N2
出張,しゅっちょう,official tour; business trip,N2
寿命,じゅみょう,life span,N2
主役,しゅやく,leading part; leading actor (actress),N2
受話器,じゅわき,(telephone) receiver,N2
循環,じゅんかん,circulation; rotation; cycle,N2
巡査,じゅんさ,police; policeman,N2
順々,じゅんじゅん,in order; in turn,N2
順序,じゅんじょ,order; sequence; procedure,N2
純情,じゅんじょう,pure heart; naivete; self-sacrificing devotion,N2
純粋,じゅんすい,pure; true; genuine; unmixed,N2
消化,しょうか,digestion,N2
小学生,しょうがくせい,grade school student,N2
将棋,しょうぎ,japanese chess,N2
蒸気,じょうき,steam; vapour,N2
定規,じょうぎ,(measuring) ruler,N2
上級,じょうきゅう,advanced level; high grade; senior,N2
商業,しょうぎょう,commerce; trade; business,N2
消極的,しょうきょくてき,passive,N2
賞金,しょうきん,prize; monetary award,N2
上下,じょうげ,high and low; up and down; unloading and loading; praising and blaming,N2
障子,しょうじ,paper sliding door,N2
商社,しょうしゃ,trading company; firm,N2
乗車,じょうしゃ,taking a train; entraining,N2
上旬,じょうじゅん,first 10 days of month,N2
生ずる,しょうずる,to cause; to arise; to be generated,N2
小数,しょうすう,fraction (part of); decimal,N2
商店,しょうてん,shop; business firm,N2
焦点,しょうてん,focus; point,N2
消毒,しょうどく,disinfection; sterilization,N2
勝敗,しょうはい,victory or defeat; issue (of battle),N2
蒸発,じょうはつ,evaporation; unexplained disappearance,N2
賞品,しょうひん,prize; trophy,N2
勝負,しょうぶ,victory or defeat; match; contest; game; bout,N2
小便,しょうべん,(col) urine; piss,N2
消防署,しょうぼうしょ,fire station,N2
正味,しょうみ,net (weight),N2
正面,しょうめん,the front; honesty,N2
消耗,しょうもう,exhaustion; consumption,N2
醤油,しょうゆ,soy sauce,N2
省略,しょうりゃく,omission; abbreviation; abridgment,N2
初級,しょきゅう,elementary level,N2
助教授,じょきょうじゅ,assistant professor,N2
食塩,しょくえん,table salt,N2
職人,しょくにん,worker; mechanic; artisan; craftsman,N2
初旬,しょじゅん,first 10 days of the month,N2
書籍,しょせき,book; publication,N2
食器,しょっき,tableware,N2
ショップ,ショップ,a shop,N2
書店,しょてん,bookshop,N2
書道,しょどう,calligraphy,N2
白髪,しらが,white or grey hair; trendy hair bleaching,N2
知合い,しりあい,acquaintance,N2
シリーズ,シリーズ,series,N2
私立,しりつ,private (establishment),N2
資料,しりょう,materials; data,N2
汁,しる,juice; sap; soup; broth,N2
素人,しろうと,amateur; novice,N2
芯,しん,core; heart; wick; marrow,N2
新幹線,しんかんせん,bullet train (very high speed); shinkansen,N2
真空,しんくう,vacuum; hollow; empty,N2
信ずる,しんずる,to believe; to believe in; to place trust in,N2
心身,しんしん,mind and body,N2
申請,しんせい,application; request; petition,N2
人造,じんぞう,man-made; synthetic; artificial,N2
寝台,しんだい,bed; couch,N2
診断,しんだん,diagnosis,N2
侵入,しんにゅう,penetration; invasion; raid; aggression; trespass,N2
人文科学,じんぶんかがく,social sciences; humanities,N2
人命,じんめい,(human) life,N2
深夜,しんや,late at night,N2
森林,しんりん,forest; woods,N2
親類,しんるい,relation; kin,N2
針路,しんろ,course; direction; compass bearing,N2
神話,しんわ,myth; legend,N2
酢,す,vinegar,N2
水産,すいさん,marine products; fisheries,N2
炊事,すいじ,cooking; culinary arts,N2
水蒸気,すいじょうき,water vapour; steam,N2
水素,すいそ,hydrogen,N2
垂直,すいちょく,vertical; perpendicular,N2
推定,すいてい,presumption; assumption; estimation,N2
水滴,すいてき,drop of water,N2
水筒,すいとう,canteen; flask; water bottle,N2
随筆,ずいひつ,essays; miscellaneous writings,N2
水分,すいぶん,moisture,N2
水平,すいへい,water level; horizon,N2
水平線,すいへいせん,horizon,N2
水曜,すいよう,wednesday,N2
ずうずうしい,ずうずうしい,impudent; shameless,N2
末っ子,すえっこ,youngest child,N2
スカーフ,スカーフ,scarf,N2
図鑑,ずかん,picture book,N2
杉,すぎ,japanese cedar,N2
好き嫌い,すききらい,likes and dislikes; taste,N2
好き好き,すきずき,matter of taste,N2
透き通る,すきとおる,to be(come) transparent,N2
隙間,すきま,crevice; crack; gap; opening,N2
スクール,スクール,school,N2
すくなくとも,すくなくとも,at least,N2
図形,ずけい,figure,N2
スケジュール,スケジュール,schedule,N2
鈴,すず,bell,N2
涼む,すずむ,to cool oneself; to cool off; to enjoy evening cool,N2
スタート,スタート,start,N2
スチュワーデス,スチュワーデス,stewardess,N2
すっきり,すっきり,shapely; clear; neat,N2
すっぱい,すっぱい,sour; acid,N2
ステージ,ステージ,stage; performance,N2
ストッキング,ストッキング,stockings,N2
ストップ,ストップ,stop,N2
素直,すなお,obedient; meek; docile; unaffected,N2
頭脳,ずのう,head; brains; intellect,N2
スピーカー,スピーカー,speaker,N2
図表,ずひょう,chart; diagram; graph,N2
スマート,スマート,smart; stylish; slim,N2
住まい,すまい,dwelling; house; residence; address,N2
すまない,すまない,sorry (phrase),N2
墨,すみ,ink,N2
澄む,すむ,to clear (e.G. Weather); to become transparent,N2
相撲,すもう,sumo wrestling,N2
スライド,スライド,slide,N2
ずらす,ずらす,to put off; to delay,N2
掏摸,すり,pickpocket,N2
刷る,する,to print,N2
狡い,ずるい,sly; cunning,N2
すれちがう,すれちがう,to pass by one another; to disagree,N2
寸法,すんぽう,measurement; size; dimension,N2
姓,せい,surname; family name,N2
税関,ぜいかん,customs house,N2
製作,せいさく,manufacture; production,N2
制作,せいさく,work (film; book),N2
性質,せいしつ,nature; property; disposition,N2
清書,せいしょ,clean copy,N2
青少年,せいしょうねん,youth; young person,N2
整数,せいすう,integer,N2
清掃,せいそう,cleaning,N2
生存,せいぞん,existence; being; survival,N2
生長,せいちょう,growth; increment,N2
政党,せいとう,(member of) political party,N2
生年月日,せいねんがっぴ,birth date,N2
性能,せいのう,ability; efficiency,N2
整備,せいび,adjustment; completion; consolidation,N2
成分,せいぶん,ingredient; component; composition,N2
性別,せいべつ,distinction by sex; sex; gender,N2
正方形,せいほうけい,square,N2
正門,せいもん,main gate; main entrance,N2
成立,せいりつ,coming into existence; arrangements; establishment; completion,N2
西暦,せいれき,christian Era; anno domini (A.D.),N2
背負う,せおう,to be burdened with; to carry on back or shoulder,N2
赤道,せきどう,equator,N2
折角,せっかく,with trouble; at great pains; long-awaited,N2
接近,せっきん,getting closer; drawing nearer; approaching,N2
石鹸,せっけん,soap,N2
接する,せっする,to come in contact with; to connect; to attend; to receive,N2
接続,せつぞく,connection; union; join; link,N2
瀬戸物,せともの,earthenware; crockery; china,N2
ぜひとも,ぜひとも,by all means (with sense of not taking no for an answer),N2
迫る,せまる,to draw near; to press,N2
ゼミ,ゼミ,(n) seminar,N2
せめて,せめて,offense; method of attack,N2
攻める,せめる,to attack; to assault,N2
セメント,セメント,cement,N2
栓,せん,stopper; cork; stopcock,N2
前後,ぜんご,around; throughout; front and back; before and behind; before and after,N2
洗剤,せんざい,detergent; washing material,N2
全集,ぜんしゅう,complete works,N2
全身,ぜんしん,the whole body; full-length (portrait),N2
扇子,せんす,folding fan,N2
専制,せんせい,despotism; autocracy,N2
先々月,せんせんげつ,month before last,N2
先々週,せんせんしゅう,week before last,N2
先祖,せんぞ,ancestor,N2
先端,せんたん,pointed end; tip; fine point,N2
センチ,センチ,centimeter; centi-; 10^-2,N2
宣伝,せんでん,propaganda; publicity,N2
先頭,せんとう,head; lead; vanguard; first,N2
全般,ぜんぱん,(the) whole; universal; wholly; general,N2
扇風機,せんぷうき,electric fan,N2
線路,せんろ,line; track; roadbed,N2
相違,そうい,difference; discrepancy; variation,N2
そういえば,そういえば,which reminds me ..,N2
雑巾,ぞうきん,house-cloth; dust cloth,N2
増減,ぞうげん,increase and decrease; fluctuation,N2
倉庫,そうこ,storehouse; warehouse; godown,N2
相互,そうご,mutual; reciprocal,N2
創作,そうさく,production; literary creation; work,N2
葬式,そうしき,funeral,N2
そうして,そうして,and; like that,N2
造船,ぞうせん,shipbuilding,N2
騒々しい,そうぞうしい,noisy; boisterous,N2
増大,ぞうだい,enlargement,N2
送別,そうべつ,farewell; send-off,N2
草履,ぞうり,zoori (Japanese footwear); sandals,N2
総理大臣,そうりだいじん,prime Minister,N2
送料,そうりょう,postage; carriage,N2
属する,ぞくする,to belong to; to come under; to be affiliated with; to be subject to,N2
続々,ぞくぞく,successively; one after another,N2
速達,そくたつ,express; special delivery,N2
測定,そくてい,measurement,N2
測量,そくりょう,measurement; surveying,N2
速力,そくりょく,speed,N2
素質,そしつ,character; qualities; genius,N2
祖先,そせん,ancestor,N2
そそっかしい,そそっかしい,careless; thoughtless,N2
卒直,そっちょく,frankness; candour; openheartedness,N2
具える,そなえる,to be furnished with,N2
そのうえ,そのうえ,in addition; furthermore,N2
そのため,そのため,hence; for that reason,N2
そのほか,そのほか,otherwise,N2
蕎麦,そば,soba (buckwheat noodles),N2
剃る,そる,to shave,N2
逸れる,それる,to stray (turn) from subject; to get lost; to go astray,N2
揃う,そろう,to become complete; to be equal; to be all present; to gather,N2
揃える,そろえる,to put things in order; to arrange; to make uniform; to get something ready,N2
算盤,そろばん,abacus,N2
存じる,ぞんじる,(hum) to know,N2
損得,そんとく,loss and gain; advantage and disadvantage,N2
田ぼ,たんぼ,paddy field; farm,N2
だいいち,（副）,first; foremost; # 1,N2
退院,たいいん,leaving hospital,N2
大学院,だいがくいん,graduate school,N2
大工,だいく,carpenter,N2
体系,たいけい,system; organization,N2
太鼓,たいこ,drum; tambourine,N2
対策,たいさく,counter-plan; counter-measure,N2
大して,たいして,(not so) much; (not) very,N2
対照,たいしょう,contrast; antithesis; comparison,N2
大小,だいしょう,size,N2
体制,たいせい,order; system; structure; set-up; organization,N2
体積,たいせき,capacity; volume,N2
大層,たいそう,very much; exaggerated; very fine,N2
体操,たいそう,gymnastics; physical exercises; calisthenics,N2
大分,だいぶん,considerably; greatly; a lot,N2
大木,たいぼく,large tree,N2
題名,だいめい,title,N2
代名詞,だいめいし,pronoun,N2
タイア,タイア,tire; tyre,N2
ダイヤグラム,ダイヤグラム,diagram,N2
ダイヤモンド,ダイヤモンド,diamond,N2
ダイヤル,ダイヤル,dial,N2
Ͼ立,たいりつ,confrontation; opposition; antagonism,N2
田植え,たうえ,rice planting,N2
絶えず,たえず,constantly,N2
楕円,だえん,ellipse,N2
高める,たかめる,to raise; to lift; to boost,N2
耕す,たがやす,to till; to plow; to cultivate,N2
滝,たき,waterfall,N2
炊く,たく,to boil; to cook,N2
焚く,たく,to burn; to kindle; to build a fire,N2
蓄える,たくわえる,to store; to lay in stock,N2
竹,たけ,bamboo; middle (of a three-tier ranking system),N2
助かる,たすかる,to be saved; to be rescued; to survive; to be helpful,N2
只,ただ,free of charge; mere; sole; only; usual; common,N2
但し,ただし,but; however; provided that,N2
畳む,たたむ,to fold (clothes),N2
立ち止まる,たちどまる,to stop; to halt; to stand still,N2
たちまち,たちまち,at once; in a moment; suddenly; all at once,N2
建つ,たつ,to erect; to be erected; to be built,N2
発つ,たつ,to depart (on a plane; train; etc.),N2
脱線,だっせん,derailment; digression,N2
妥当,だとう,valid; proper; right; appropriate,N2
例える,たとえる,to compare; to liken; to speak figuratively; to illustrate; to use a simile,N2
頼もしい,たのもしい,reliable; trustworthy; hopeful; promising,N2
足袋,たび,tabi; japanese socks (with split toe),N2
ダブル,ダブル,double,N2
だます,だます,to trick; to cheat; to deceive,N2
溜まる,たまる,to collect; to gather; to save,N2
ダム,ダム,dumb,N2
溜息,ためいき,a sigh,N2
ためらう,ためらう,to hesitate,N2
溜める,ためる,to amass; to accumulate,N2
だらしない,だらしない,slovenly; loose; a slut,N2
足る,たる,to be sufficient; to be enough,N2
段階,だんかい,gradation; grade; stage,N2
短期,たんき,short term,N2
炭鉱,たんこう,coal mine; coal pit,N2
短所,たんしょ,defect; demerit; weak point; disadvantage,N2
たんす,たんす,chest of drawers,N2
淡水,たんすい,fresh water,N2
断水,だんすい,water outage,N2
単数,たんすう,singular (number),N2
団地,だんち,multi-unit apartments,N2
断定,だんてい,conclusion; decision,N2
短編,たんぺん,short (e.G. Story; film),N2
誓う,ちかう,to swear; to vow; to take an oath; to pledge,N2
地下水,ちかすい,underground water,N2
近々,ちかぢか,nearness; before long,N2
近付ける,ちかづける,to bring near; to put close; to let come near; to associate with,N2
近寄る,ちかよる,to approach; to draw near,N2
力強い,ちからづよい,reassuring; emboldened,N2
ちぎる,ちぎる,to cut up fine; to pick (fruit),N2
地質,ちしつ,geological features,N2
知人,ちじん,friend; acquaintance,N2
地帯,ちたい,area; zone,N2
縮む,ちぢむ,to shrink; to be contracted,N2
縮める,ちぢめる,to shorten; to reduce; to boil down; to shrink,N2
縮れる,ちぢれる,to be wavy; to be curled,N2
チップ,チップ,gratuity; tip; chip,N2
地点,ちてん,site; point on a map,N2
地名,ちめい,place name,N2
着々,ちゃくちゃく,steadily,N2
茶碗,ちゃわん,rice bowl; tea cup; teacup,N2
中間,ちゅうかん,middle; midway; interim,N2
中旬,ちゅうじゅん,second third of a month,N2
抽象,ちゅうしょう,abstract,N2
中世,ちゅうせい,middle Ages; mediaeval times,N2
中性,ちゅうせい,neuter gender; neutral (chem.); indifference; sterility,N2
中途,ちゅうと,in the middle; half-way,N2
中年,ちゅうねん,middle-aged,N2
超過,ちょうか,excess; being more than,N2
彫刻,ちょうこく,carving; engraving; sculpture,N2
長所,ちょうしょ,strong point; merit; advantage,N2
長女,ちょうじょ,eldest daughter,N2
調整,ちょうせい,regulation; adjustment; tuning,N2
調節,ちょうせつ,regulation; adjustment; control,N2
長短,ちょうたん,length; long and short; +-,N2
頂点,ちょうてん,top; summit,N2
長男,ちょうなん,eldest son,N2
長方形,ちょうほうけい,rectangle; oblong,N2
調味料,ちょうみりょう,condiment; seasoning,N2
チョーク,チョーク,chock; chalk,N2
直後,ちょくご,immediately following,N2
直線,ちょくせん,straight line,N2
直前,ちょくぜん,just before,N2
直通,ちょくつう,direct communication,N2
直流,ちょくりゅう,direct current,N2
貯蔵,ちょぞう,storage; preservation,N2
直角,ちょっかく,right angle,N2
直径,ちょっけい,diameter,N2
散らかす,ちらかす,to scatter around; to leave untidy,N2
散らかる,ちらかる,to be in disorder; to lie scattered around,N2
散らす,ちらす,to scatter; to disperse; to distribute,N2
塵紙,ちりがみ,tissue paper; toilet paper,N2
散る,ちる,to fall; to scatter (e.G. Blossoms),N2
追加,ついか,addition; supplement; appendix,N2
ついで,ついで,opportunity; occasion,N2
通貨,つうか,currency,N2
通勤,つうきん,commuting to work,N2
通知,つうち,notice; notification,N2
通帳,つうちょう,passbook,N2
通訳,つうやく,interpretation,N2
通用,つうよう,popular use; circulation,N2
通路,つうろ,passage; pathway,N2
付合う,つきあう,to associate with; to keep company with; to get on with,N2
突き当たり,つきあたり,end (e.G. Of street),N2
突き当たる,つきあたる,to run into; to collide with,N2
月日,つきひ,time; years; days,N2
点く,つく,to catch fire; (electricity) comes on,N2
次ぐ,つぐ,to rank next to; to come after,N2
作る/造る,つくる,to make; to create,N2
着ける,つける,to attach; to join; to add; to append,N2
点ける,つける,to turn on; to switch on; to light up,N2
浸ける,つける,to dip in; to soak,N2
伝わる,つたわる,to be handed down; to be introduced; to be transmitted,N2
突っ込む,つっこむ,to plunge into; to go into deeply,N2
務める,つとめる,to serve; to fill a post; to serve under; to work (for),N2
綱,つな,rope,N2
繋がり,つながり,connection; link; relationship,N2
繋がる,つながる,to be tied together; to be connected to; to be related to,N2
繋げる,つなげる,to connect,N2
粒,つぶ,grain,N2
潰す,つぶす,to smash; to waste,N2
潰れる,つぶれる,to be smashed; to go bankrupt,N2
つまずく,つまずく,to stumble; to trip,N2
詰まる,つまる,to be blocked; to be packed,N2
積む,つむ,to pile up; to stack,N2
爪,つめ,fingernail or toenail; claw; talon; hoof,N2
艶,つや,gloss; glaze,N2
強気,つよき,firm; strong,N2
釣り合う,つりあう,to balance; to be in harmony; to suit,N2
吊る,つる,to hang,N2
吊す,つるす,to hang,N2
出合い,であい,an encounter,N2
手洗い,てあらい,restroom; lavatory; hand-washing,N2
定員,ていいん,fixed number of regular personnel; capacity (of boat; etc.),N2
定価,ていか,established price,N2
低下,ていか,fall; decline; lowering; deterioration,N2
定期券,ていきけん,commuter pass; season ticket,N2
定休日,ていきゅうび,regular holiday,N2
停止,ていし,suspension; interruption; stoppage; ban,N2
停車,ていしゃ,stopping (e.G. Train),N2
停電,ていでん,failure of electricity,N2
出入り,でいり,in and out; coming and going; free association; income and expenditure; debits and credit,N2
出入口,でいりぐち,exit and entrance,N2
手入れ,ていれ,repairs; maintenance,N2
テーマ,テーマ,(n) theme; project; topic (de: Thema),N2
出掛ける,でかける,to depart; to set out; to start; to be going out,N2
出来上がり,できあがり,be finished; ready; made for; cut out,N2
出来上がる,できあがる,to be finished; to be ready; by definition,N2
的確,てきかく,precise; accurate,N2
適確,てきかく,precise; accurate,N2
手首,てくび,wrist,N2
凸凹,でこぼこ,unevenness; roughness; ruggedness,N2
手頃,てごろ,moderate; handy,N2
手帳,てちょう,notebook,N2
鉄橋,てっきょう,railway bridge; iron bridge,N2
手続き,てつづき,procedure; (legal) process; formalities,N2
鉄砲,てっぽう,gun,N2
テニスコート,テニスコート,tennis court,N2
手拭い,てぬぐい,(hand) towel,N2
手前,てまえ,before; this side; we; you,N2
出迎え,でむかえ,meeting; reception,N2
出迎える,でむかえる,to meet; to greet,N2
照らす,てらす,to shine on; to illuminate,N2
照る,てる,to shine,N2
展開,てんかい,develop; expansion (opposite of compression),N2
伝記,でんき,biography; life story,N2
電球,でんきゅう,light bulb,N2
点数,てんすう,marks; points; score; runs,N2
伝染,でんせん,contagion,N2
電池,でんち,battery,N2
点々,てんてん,here and there; little by little,N2
電柱,でんちゅう,telephone pole; telegraph pole; lightpole,N2
天皇,てんのう,emperor of Japan,N2
電波,でんぱ,electro-magnetic wave,N2
テンポ,テンポ,tempo,N2
電流,でんりゅう,electric current,N2
電力,でんりょく,electric power,N2
問い合わせ,といあわせ,enquiry; ENQ,N2
銅,どう,copper,N2
統一,とういつ,unity; consolidation; uniformity,N2
同格,どうかく,the same rank; equality; apposition,N2
峠,とうげ,ridge; (mountain) pass; difficult part,N2
統計,とうけい,scattering; a scatter; dispersion,N2
動作,どうさ,action; movements; motions; bearing; behaviour; manners,N2
東西,とうざい,east and West; whole country,N2
当日,とうじつ,appointed day; very day,N2
投書,とうしょ,letter to the editor; letter from a reader; contribution,N2
登場,とうじょう,entry (on stage),N2
どうせ,どうせ,anyhow; in any case; at any rate,N2
どうぞよろしく,どうぞよろしく,pleased to meet you,N2
灯台,とうだい,lighthouse,N2
盗難,とうなん,theft; robbery,N2
当番,とうばん,being on duty,N2
等分,とうぶん,division into equal parts,N2
透明,とうめい,transparency; cleanness,N2
灯油,とうゆ,lamp oil; kerosene,N2
東洋,とうよう,orient,N2
童話,どうわ,fairy tale,N2
通り掛かる,とおりかかる,to happen to pass by,N2
溶かす,とかす,to melt; to dissolve,N2
尖る,とがる,to taper to a point; to become sharp; to be sour; to look displeased,N2
どきどき,どきどき,throb; beat (fast),N2
溶く,とく,to dissolve (paint),N2
退く,どく,to retreat; to recede; to withdraw,N2
特殊,とくしゅ,special; unique,N2
特色,とくしょく,characteristic; feature,N2
特長,とくちょう,forte; merit,N2
特定,とくてい,specific; special; particular,N2
特売,とくばい,special sale,N2
溶け込む,とけこむ,to melt into,N2
溶ける,とける,to melt; to thaw; to fuse; to dissolve,N2
退ける,どける,to remove; to take away; to dislodge; to put something out of the way,N2
床の間,とこのま,alcove,N2
所々,ところどころ,here and there; some parts (of something),N2
都心,としん,heart (of city),N2
戸棚,とだな,cupboard; locker; closet; wardrobe,N2
とっくに,とっくに,long ago; already; a long time ago,N2
どっと,どっと,suddenly,N2
整う,ととのう,to be prepared; to be in order; to be put in order; to be arranged,N2
どなる,どなる,to shout; to yell,N2
飛び込む,とびこむ,to jump in; to leap in; to plunge into; to dive,N2
跳ぶ,とぶ,to jump; to fly; to leap,N2
留まる,とまる,to be fixed; to abide; to stay (in the one place),N2
泊める,とめる,to give shelter to; to lodge,N2
ともかく,ともかく,anyhow; anyway; somehow or other; generally speaking; in any case,N2
